"","X","i","j","pocp","population"
"30029",2,"19AcAm41.3.1","19AcPa177.2.2",0.995736306985897,"all1"
"30045",2,"19AcAm41.3.1","19AcS142.3.1",0.995408330600197,"all1"
"30073",2,"19AcAm41.3.1","19AcS398sp.3.1",0.995736306985897,"all1"
"52119",2,"19AcPa177.2.2","19AcAm40.3.1",0.996720236142998,"all1"
"52122",2,"19AcPa177.2.2","19AcAm41.3.1",0.995736306985897,"all1"
"52221",2,"19AcPa177.2.2","19AcS142.3.1",0.996392259757298,"all1"
"52249",2,"19AcPa177.2.2","19AcS398sp.3.1",0.996720236142998,"all1"
"56343",2,"19AcS142.3.1","19AcAm40.3.1",0.996392259757298,"all1"
"56346",2,"19AcS142.3.1","19AcAm41.3.1",0.995408330600197,"all1"
"56430",2,"19AcS142.3.1","19AcPa177.2.2",0.996392259757298,"all1"
"56473",2,"19AcS142.3.1","19AcS398sp.3.1",0.996392259757298,"all1"
"63735",2,"19AcS398sp.3.1","19AcAm40.3.1",0.996720236142998,"all1"
"63738",2,"19AcS398sp.3.1","19AcAm41.3.1",0.995736306985897,"all1"
"63822",2,"19AcS398sp.3.1","19AcPa177.2.2",0.996720236142998,"all1"
"63838",2,"19AcS398sp.3.1","19AcS142.3.1",0.996392259757298,"all1"
"24002",2,"05LoS16R1_16","09LoS36_3",0.995736306985897,"I3"
"24942",2,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"I3"
"25001",2,"05LoS16R1_16","19AcARN300.2.1",0.996720236142998,"I3"
"26361",2,"05LoS16R1_16","CW9",0.997704165300098,"I3"
"63461",2,"09LoS36_3","05LoS16R1_16",0.995736306985897,"I3"
"6454",2,"09LoS36_3","19AcARN268.1.1",0.997048212528698,"I3"
"64601",2,"09LoS36_3","19AcARN300.2.1",0.997048212528698,"I3"
"65961",2,"09LoS36_3","CW9",0.998032141685799,"I3"
"311622",2,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"I3"
"31177",2,"19AcARN268.1.1","09LoS36_3",0.997048212528698,"I3"
"31276",2,"19AcARN268.1.1","19AcARN300.2.1",0.998032141685799,"I3"
"31412",2,"19AcARN268.1.1","CW9",0.999016070842899,"I3"
"327461",2,"19AcARN300.2.1","05LoS16R1_16",0.996720236142998,"I3"
"327611",2,"19AcARN300.2.1","09LoS36_3",0.997048212528698,"I3"
"32855",2,"19AcARN300.2.1","19AcARN268.1.1",0.998032141685799,"I3"
"329962",2,"19AcARN300.2.1","CW9",0.999016070842899,"I3"
"686501",2,"CW9","05LoS16R1_16",0.997704165300098,"I3"
"686651",2,"CW9","09LoS36_3",0.998032141685799,"I3"
"68759",2,"CW9","19AcARN268.1.1",0.999016070842899,"I3"
"687652",2,"CW9","19AcARN300.2.1",0.999016070842899,"I3"
"24941",2,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"2520",2,"05LoS16R1_16","19AcGLB102.2.2",0.997376188914398,"R3"
"25393",2,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"26092",2,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"311621",2,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"31296",2,"19AcARN268.1.1","19AcGLB102.2.2",0.998032141685799,"R3"
"313152",2,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"313851",2,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"38026",2,"19AcGLB102.2.2","05LoS16R1_16",0.997376188914398,"R3"
"38135",2,"19AcGLB102.2.2","19AcARN268.1.1",0.998032141685799,"R3"
"38179",2,"19AcGLB102.2.2","19AcHe316.1.1",0.997704165300098,"R3"
"38249",2,"19AcGLB102.2.2","19AcS312.2.1",0.997048212528698,"R3"
"430423",2,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"431512",2,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"43177",2,"19AcHe316.1.1","19AcGLB102.2.2",0.997704165300098,"R3"
"432652",2,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"615222",2,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"616311",2,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"61657",2,"19AcS312.2.1","19AcGLB102.2.2",0.997048212528698,"R3"
"616762",2,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"22772",2,"19AcAM304.2.1","19AcPa285.2.1",0.728825059368992,"metapop"
"22844",2,"19AcAM304.2.1","19AcS213.4.1",0.69938167509837,"metapop"
"22925",2,"19AcAM304.2.1","19AcD280.2.1",0.733193277310924,"metapop"
"22973",2,"19AcAM304.2.1","19AcGLB197.1.1",0.7389811104751,"metapop"
"29791",2,"19AcD280.2.1","19AcGLB197.1.1",0.750142547610902,"metapop"
"29831",2,"19AcD280.2.1","19AcS213.4.1",0.743868294321873,"metapop"
"29927",2,"19AcD280.2.1","19AcPa285.2.1",0.858736059479554,"metapop"
"29957",2,"19AcD280.2.1","19AcAM304.2.1",0.733193277310924,"metapop"
"33739",2,"19AcGLB197.1.1","19AcAM304.2.1",0.7389811104751,"metapop"
"33781",2,"19AcGLB197.1.1","19AcS213.4.1",0.732250580046404,"metapop"
"33788",2,"19AcGLB197.1.1","19AcD280.2.1",0.750142547610902,"metapop"
"33840",2,"19AcGLB197.1.1","19AcPa285.2.1",0.740546218487395,"metapop"
"47002",2,"19AcPa285.2.1","19AcS213.4.1",0.740490375802016,"metapop"
"47026",2,"19AcPa285.2.1","19AcGLB197.1.1",0.740546218487395,"metapop"
"47111",2,"19AcPa285.2.1","19AcAM304.2.1",0.728825059368992,"metapop"
"47137",2,"19AcPa285.2.1","19AcD280.2.1",0.858736059479554,"metapop"
"50901",2,"19AcS213.4.1","19AcGLB197.1.1",0.732250580046404,"metapop"
"50920",2,"19AcS213.4.1","19AcAM304.2.1",0.69938167509837,"metapop"
"50945",2,"19AcS213.4.1","19AcD280.2.1",0.743868294321873,"metapop"
"51006",2,"19AcS213.4.1","19AcPa285.2.1",0.740490375802016,"metapop"
"8081",2,"11LoS21_3","19AcS179.2.1",0.869917842848115,"species"
"8152",2,"11LoS21_3","19AcS11.1.1",0.892880399392229,"species"
"8220",2,"11LoS21_3","19AcPa146.3.1",0.809886759581881,"species"
"8221",2,"11LoS21_3","19AcGLB103.2.1",0.844469925987699,"species"
"32676",2,"19AcGLB103.2.1","19AcPa146.3.1",0.808070138375409,"species"
"32702",2,"19AcGLB103.2.1","19AcS179.2.1",0.861409430295592,"species"
"32732",2,"19AcGLB103.2.1","11LoS21_3",0.844469925987699,"species"
"32850",2,"19AcGLB103.2.1","19AcS11.1.1",0.864588817521323,"species"
"41416",2,"19AcPa146.3.1","19AcS11.1.1",0.8203125,"species"
"41432",2,"19AcPa146.3.1","11LoS21_3",0.809886759581881,"species"
"41469",2,"19AcPa146.3.1","19AcS179.2.1",0.82066609735269,"species"
"41587",2,"19AcPa146.3.1","19AcGLB103.2.1",0.808070138375409,"species"
"47204",2,"19AcS11.1.1","19AcPa146.3.1",0.8203125,"species"
"47214",2,"19AcS11.1.1","19AcGLB103.2.1",0.864588817521323,"species"
"47324",2,"19AcS11.1.1","19AcS179.2.1",0.864652053628432,"species"
"47390",2,"19AcS11.1.1","11LoS21_3",0.892880399392229,"species"
"49194",2,"19AcS179.2.1","19AcS11.1.1",0.864652053628432,"species"
"49235",2,"19AcS179.2.1","11LoS21_3",0.869917842848115,"species"
"49312",2,"19AcS179.2.1","19AcPa146.3.1",0.82066609735269,"species"
"49330",2,"19AcS179.2.1","19AcGLB103.2.1",0.861409430295592,"species"
"3448",3,"05LoS21R6_43","05LoS23_11",0.996720236142998,"all1"
"3454",3,"05LoS21R6_43","09LoS35_1",0.998360118071499,"all1"
"3513",3,"05LoS21R6_43","19AcAm184.3.1",0.997704165300098,"all1"
"3576",3,"05LoS21R6_43","19AcGLB102.2.2",0.997376188914398,"all1"
"4238",3,"05LoS23_11","05LoS21R6_43",0.996720236142998,"all1"
"4246",3,"05LoS23_11","09LoS35_1",0.997704165300098,"all1"
"4305",3,"05LoS23_11","19AcAm184.3.1",0.997704165300098,"all1"
"4368",3,"05LoS23_11","19AcGLB102.2.2",0.997376188914398,"all1"
"5822",3,"09LoS35_1","05LoS21R6_43",0.998360118071499,"all1"
"5825",3,"09LoS35_1","05LoS23_11",0.997704165300098,"all1"
"5889",3,"09LoS35_1","19AcAm184.3.1",0.998688094457199,"all1"
"5952",3,"09LoS35_1","19AcGLB102.2.2",0.998360118071499,"all1"
"21398",3,"19AcAm184.3.1","05LoS21R6_43",0.997704165300098,"all1"
"21401",3,"19AcAm184.3.1","05LoS23_11",0.997704165300098,"all1"
"21407",3,"19AcAm184.3.1","09LoS35_1",0.998688094457199,"all1"
"21528",3,"19AcAm184.3.1","19AcGLB102.2.2",0.998360118071499,"all1"
"38030",3,"19AcGLB102.2.2","05LoS21R6_43",0.997376188914398,"all1"
"38033",3,"19AcGLB102.2.2","05LoS23_11",0.997376188914398,"all1"
"38039",3,"19AcGLB102.2.2","09LoS35_1",0.998360118071499,"all1"
"38098",3,"19AcGLB102.2.2","19AcAm184.3.1",0.998360118071499,"all1"
"5040",3,"05LoS3_1","09LoS36_3",0.996064283371597,"I3"
"5133",3,"05LoS3_1","19AcAm43.3.1",0.995080354214497,"I3"
"5134",3,"05LoS3_1","19AcARN268.1.1",0.997048212528698,"I3"
"5213",3,"05LoS3_1","19AcPa177.2.2",0.996392259757298,"I3"
"6356",3,"09LoS36_3","05LoS3_1",0.996064283371597,"I3"
"6453",3,"09LoS36_3","19AcAm43.3.1",0.995080354214497,"I3"
"64541",3,"09LoS36_3","19AcARN268.1.1",0.997048212528698,"I3"
"65331",3,"09LoS36_3","19AcPa177.2.2",0.996392259757298,"I3"
"30908",3,"19AcAm43.3.1","05LoS3_1",0.995080354214497,"I3"
"30913",3,"19AcAm43.3.1","09LoS36_3",0.995080354214497,"I3"
"31006",3,"19AcAm43.3.1","19AcARN268.1.1",0.996064283371597,"I3"
"31085",3,"19AcAm43.3.1","19AcPa177.2.2",0.995408330600197,"I3"
"31172",3,"19AcARN268.1.1","05LoS3_1",0.997048212528698,"I3"
"311771",3,"19AcARN268.1.1","09LoS36_3",0.997048212528698,"I3"
"31270",3,"19AcARN268.1.1","19AcAm43.3.1",0.996064283371597,"I3"
"31349",3,"19AcARN268.1.1","19AcPa177.2.2",0.997376188914398,"I3"
"52028",3,"19AcPa177.2.2","05LoS3_1",0.996392259757298,"I3"
"520331",3,"19AcPa177.2.2","09LoS36_3",0.996392259757298,"I3"
"52126",3,"19AcPa177.2.2","19AcAm43.3.1",0.995408330600197,"I3"
"52127",3,"19AcPa177.2.2","19AcARN268.1.1",0.997376188914398,"I3"
"24943",3,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"25292",3,"05LoS16R1_16","19AcGLB198.2.2",0.996064283371597,"R3"
"25394",3,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"26093",3,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"311623",3,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"313051",3,"19AcARN268.1.1","19AcGLB198.2.2",0.997376188914398,"R3"
"313153",3,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"313852",3,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"404021",3,"19AcGLB198.2.2","05LoS16R1_16",0.996064283371597,"R3"
"405111",3,"19AcGLB198.2.2","19AcARN268.1.1",0.997376188914398,"R3"
"405551",3,"19AcGLB198.2.2","19AcHe316.1.1",0.997048212528698,"R3"
"406252",3,"19AcGLB198.2.2","19AcS312.2.1",0.997048212528698,"R3"
"430424",3,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"431513",3,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"431861",3,"19AcHe316.1.1","19AcGLB198.2.2",0.997048212528698,"R3"
"432653",3,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"615223",3,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"616312",3,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"616662",3,"19AcS312.2.1","19AcGLB198.2.2",0.997048212528698,"R3"
"616763",3,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"6544",3,"11LoS14_2","19AcARN268.3.1",0.864587924195681,"metapop"
"6580",3,"11LoS14_2","19AcD298.1.1",0.743706545192999,"metapop"
"6711",3,"11LoS14_2","11LoS33_1",0.756195421288648,"metapop"
"6760",3,"11LoS14_2","19AcPa283.2.1",0.854448320976886,"metapop"
"9924",3,"11LoS33_1","19AcARN268.3.1",0.743819962686567,"metapop"
"9982",3,"11LoS33_1","19AcD298.1.1",0.875669472073451,"metapop"
"10085",3,"11LoS33_1","19AcPa283.2.1",0.750922509225092,"metapop"
"10145",3,"11LoS33_1","11LoS14_2",0.756195421288648,"metapop"
"26488",3,"19AcARN268.3.1","19AcD298.1.1",0.739696826148745,"metapop"
"26506",3,"19AcARN268.3.1","11LoS14_2",0.864587924195681,"metapop"
"26509",3,"19AcARN268.3.1","11LoS33_1",0.743819962686567,"metapop"
"26551",3,"19AcARN268.3.1","19AcPa283.2.1",0.83577744231184,"metapop"
"30794",3,"19AcD298.1.1","11LoS33_1",0.875669472073451,"metapop"
"30807",3,"19AcD298.1.1","11LoS14_2",0.743706545192999,"metapop"
"30859",3,"19AcD298.1.1","19AcPa283.2.1",0.741334894613583,"metapop"
"30881",3,"19AcD298.1.1","19AcARN268.3.1",0.739696826148745,"metapop"
"45998",3,"19AcPa283.2.1","19AcD298.1.1",0.741334894613583,"metapop"
"46070",3,"19AcPa283.2.1","11LoS14_2",0.854448320976886,"metapop"
"46084",3,"19AcPa283.2.1","11LoS33_1",0.750922509225092,"metapop"
"46174",3,"19AcPa283.2.1","19AcARN268.3.1",0.83577744231184,"metapop"
"97",3,"05LoH15.1","CW9",0.841904761904762,"species"
"129",3,"05LoH15.1","19AcS121.1.1",0.836802480070859,"species"
"153",3,"05LoH15.1","19AcS312.3.1",0.842336103416436,"species"
"230",3,"05LoH15.1","19AcS307.1.1",0.802533957310809,"species"
"47678",3,"19AcS121.1.1","19AcS312.3.1",0.883687472332891,"species"
"47701",3,"19AcS121.1.1","05LoH15.1",0.836802480070859,"species"
"47702",3,"19AcS121.1.1","19AcS307.1.1",0.872002627833133,"species"
"47780",3,"19AcS121.1.1","CW9",0.876734430461439,"species"
"52118",3,"19AcS307.1.1","05LoH15.1",0.802533957310809,"species"
"52121",3,"19AcS307.1.1","19AcS121.1.1",0.872002627833133,"species"
"52217",3,"19AcS307.1.1","CW9",0.83824506979836,"species"
"52260",3,"19AcS307.1.1","19AcS312.3.1",0.857045065601825,"species"
"53793",3,"19AcS312.3.1","19AcS307.1.1",0.857045065601825,"species"
"53884",3,"19AcS312.3.1","19AcS121.1.1",0.883687472332891,"species"
"53919",3,"19AcS312.3.1","CW9",0.870534214357711,"species"
"53949",3,"19AcS312.3.1","05LoH15.1",0.842336103416436,"species"
"58659",3,"CW9","19AcS312.3.1",0.870534214357711,"species"
"58716",3,"CW9","19AcS307.1.1",0.83824506979836,"species"
"58756",3,"CW9","19AcS121.1.1",0.876734430461439,"species"
"58802",3,"CW9","05LoH15.1",0.841904761904762,"species"
"3453",4,"05LoS21R6_43","05LoS8_14",0.996392259757298,"all1"
"3509",4,"05LoS21R6_43","19AcAm128.2.1",0.996720236142998,"all1"
"3527",4,"05LoS21R6_43","19AcAm211.3.1",0.997048212528698,"all1"
"3584",4,"05LoS21R6_43","19AcGLB198.1.2",0.996720236142998,"all1"
"5558",4,"05LoS8_14","05LoS21R6_43",0.996392259757298,"all1"
"5621",4,"05LoS8_14","19AcAm128.2.1",0.995736306985897,"all1"
"5639",4,"05LoS8_14","19AcAm211.3.1",0.996064283371597,"all1"
"5696",4,"05LoS8_14","19AcGLB198.1.2",0.995736306985897,"all1"
"20342",4,"19AcAm128.2.1","05LoS21R6_43",0.996720236142998,"all1"
"20350",4,"19AcAm128.2.1","05LoS8_14",0.995736306985897,"all1"
"20423",4,"19AcAm128.2.1","19AcAm211.3.1",0.997048212528698,"all1"
"20480",4,"19AcAm128.2.1","19AcGLB198.1.2",0.996720236142998,"all1"
"25094",4,"19AcAm211.3.1","05LoS21R6_43",0.997048212528698,"all1"
"25102",4,"19AcAm211.3.1","05LoS8_14",0.996064283371597,"all1"
"25158",4,"19AcAm211.3.1","19AcAm128.2.1",0.997048212528698,"all1"
"25232",4,"19AcAm211.3.1","19AcGLB198.1.2",0.997048212528698,"all1"
"40142",4,"19AcGLB198.1.2","05LoS21R6_43",0.996720236142998,"all1"
"40150",4,"19AcGLB198.1.2","05LoS8_14",0.995736306985897,"all1"
"40206",4,"19AcGLB198.1.2","19AcAm128.2.1",0.996720236142998,"all1"
"40224",4,"19AcGLB198.1.2","19AcAm211.3.1",0.997048212528698,"all1"
"2395",4,"05LoS16R1_16","05LoS3_1",0.995736306985897,"I3"
"24005",4,"05LoS16R1_16","09LoS36_3",0.995736306985897,"I3"
"24944",4,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"I3"
"25732",4,"05LoS16R1_16","19AcPa177.2.2",0.996064283371597,"I3"
"5026",4,"05LoS3_1","05LoS16R1_16",0.995736306985897,"I3"
"50401",4,"05LoS3_1","09LoS36_3",0.996064283371597,"I3"
"51341",4,"05LoS3_1","19AcARN268.1.1",0.997048212528698,"I3"
"52131",4,"05LoS3_1","19AcPa177.2.2",0.996392259757298,"I3"
"63462",4,"09LoS36_3","05LoS16R1_16",0.995736306985897,"I3"
"63561",4,"09LoS36_3","05LoS3_1",0.996064283371597,"I3"
"64542",4,"09LoS36_3","19AcARN268.1.1",0.997048212528698,"I3"
"65332",4,"09LoS36_3","19AcPa177.2.2",0.996392259757298,"I3"
"311624",4,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"I3"
"311721",4,"19AcARN268.1.1","05LoS3_1",0.997048212528698,"I3"
"311772",4,"19AcARN268.1.1","09LoS36_3",0.997048212528698,"I3"
"313491",4,"19AcARN268.1.1","19AcPa177.2.2",0.997376188914398,"I3"
"520181",4,"19AcPa177.2.2","05LoS16R1_16",0.996064283371597,"I3"
"520281",4,"19AcPa177.2.2","05LoS3_1",0.996392259757298,"I3"
"520332",4,"19AcPa177.2.2","09LoS36_3",0.996392259757298,"I3"
"521271",4,"19AcPa177.2.2","19AcARN268.1.1",0.997376188914398,"I3"
"249411",4,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"25294",4,"05LoS16R1_16","19AcGLB198.2.2",0.996064283371597,"R3"
"25395",4,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"26094",4,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"3116211",4,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"313052",4,"19AcARN268.1.1","19AcGLB198.2.2",0.997376188914398,"R3"
"313154",4,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"313853",4,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"404022",4,"19AcGLB198.2.2","05LoS16R1_16",0.996064283371597,"R3"
