"","isolate1","isolate2","ani","haplotype","sample"
"17475","19AcARN268.1.1","05LoS3_1",98.3758,"K1_R1_I3_G1",2
"356891","19AcHe316.1.1","05LoS16R1_16",99.1407,"K1_R1_I3_G1",2
"356941","19AcHe316.1.1","19AcARN268.1.1",99.0782,"K1_R1_I3_G1",2
"35743","19AcHe316.1.1","19AcPa177.2.2",98.6758,"K1_R1_I3_G1",2
"35798","19AcHe316.1.1","05LoS3_1",98.0826,"K1_R1_I3_G1",2
"43667","19AcPa177.2.2","05LoS16R1_16",98.8579,"K1_R1_I3_G1",2
"43668","19AcPa177.2.2","19AcARN268.1.1",98.8569,"K1_R1_I3_G1",2
"43703","19AcPa177.2.2","19AcHe316.1.1",98.6808,"K1_R1_I3_G1",2
"43710","19AcPa177.2.2","05LoS3_1",98.6521,"K1_R1_I3_G1",2
"19584","19AcAm129.3.1","19AcS312.3.1",99.609,"K1_R1_I1_G1",3
"19600","19AcAm129.3.1","19AcS136.2.1",99.4426,"K1_R1_I1_G1",3
"19603","19AcAm129.3.1","19AcS313A.1.1",99.4333,"K1_R1_I1_G1",3
"19621","19AcAm129.3.1","19AcAm185.3.1",99.3334,"K1_R1_I1_G1",3
"20274","19AcAm185.3.1","19AcS313A.1.1",99.7262,"K1_R1_I1_G1",3
"20289","19AcAm185.3.1","19AcS312.3.1",99.4356,"K1_R1_I1_G1",3
"20317","19AcAm185.3.1","19AcAm129.3.1",99.2561,"K1_R1_I1_G1",3
"20352","19AcAm185.3.1","19AcS136.2.1",99.1308,"K1_R1_I1_G1",3
"42904","19AcS136.2.1","19AcAm129.3.1",99.4462,"K1_R1_I1_G1",3
"42944","19AcS136.2.1","19AcS312.3.1",99.2726,"K1_R1_I1_G1",3
"42950","19AcS136.2.1","19AcS313A.1.1",99.2519,"K1_R1_I1_G1",3
"42967","19AcS136.2.1","19AcAm185.3.1",99.1635,"K1_R1_I1_G1",3
"48240","19AcS312.3.1","19AcAm129.3.1",99.6124,"K1_R1_I1_G1",3
"48252","19AcS312.3.1","19AcS313A.1.1",99.5348,"K1_R1_I1_G1",3
"48261","19AcS312.3.1","19AcAm185.3.1",99.4433,"K1_R1_I1_G1",3
"48287","19AcS312.3.1","19AcS136.2.1",99.2791,"K1_R1_I1_G1",3
"48467","19AcS313A.1.1","19AcAm185.3.1",99.7299,"K1_R1_I1_G1",3
"48477","19AcS313A.1.1","19AcS312.3.1",99.5276,"K1_R1_I1_G1",3
"48495","19AcS313A.1.1","19AcAm129.3.1",99.3762,"K1_R1_I1_G1",3
"48521","19AcS313A.1.1","19AcS136.2.1",99.2538,"K1_R1_I1_G1",3
"773","05LoS16R1_16","19AcGLB198.2.2",99.3071,"K1_R3_I1_G1",3
"781","05LoS16R1_16","19AcHe316.1.1",99.2488,"K1_R3_I1_G1",3
"796","05LoS16R1_16","19AcGLB102.2.2",99.1811,"K1_R3_I1_G1",3
"828","05LoS16R1_16","19AcS312.2.1",98.9149,"K1_R3_I1_G1",3
"28685","19AcGLB102.2.2","19AcS312.2.1",99.4447,"K1_R3_I1_G1",3
"28692","19AcGLB102.2.2","19AcGLB198.2.2",99.4221,"K1_R3_I1_G1",3
"28738","19AcGLB102.2.2","05LoS16R1_16",99.1804,"K1_R3_I1_G1",3
"28770","19AcGLB102.2.2","19AcHe316.1.1",98.9692,"K1_R3_I1_G1",3
"30546","19AcGLB198.2.2","19AcGLB102.2.2",99.4183,"K1_R3_I1_G1",3
"30572","19AcGLB198.2.2","05LoS16R1_16",99.3006,"K1_R3_I1_G1",3
"30596","19AcGLB198.2.2","19AcS312.2.1",99.1991,"K1_R3_I1_G1",3
"30650","19AcGLB198.2.2","19AcHe316.1.1",98.8617,"K1_R3_I1_G1",3
"32396","19AcHe316.1.1","05LoS16R1_16",99.2449,"K1_R3_I1_G1",3
"32465","19AcHe316.1.1","19AcGLB102.2.2",98.9776,"K1_R3_I1_G1",3
"32502","19AcHe316.1.1","19AcGLB198.2.2",98.8689,"K1_R3_I1_G1",3
"32517","19AcHe316.1.1","19AcS312.2.1",98.6723,"K1_R3_I1_G1",3
"48002","19AcS312.2.1","19AcGLB102.2.2",99.4446,"K1_R3_I1_G1",3
"48028","19AcS312.2.1","19AcGLB198.2.2",99.2095,"K1_R3_I1_G1",3
"48091","19AcS312.2.1","05LoS16R1_16",98.9143,"K1_R3_I1_G1",3
"48119","19AcS312.2.1","19AcHe316.1.1",98.6563,"K1_R3_I1_G1",3
"744","05LoS16R1_16","05LoS3_1",99.4475,"K1_R1_I3_G1",3
"759","05LoS16R1_16","19AcPa177.2.2",99.3505,"K1_R1_I3_G1",3
"770","05LoS16R1_16","19AcARN300.2.1",99.3136,"K1_R1_I3_G1",3
"794","05LoS16R1_16","19AcAm43.3.1",99.195,"K1_R1_I3_G1",3
"3525","05LoS3_1","19AcARN300.2.1",99.4745,"K1_R1_I3_G1",3
"3529","05LoS3_1","19AcPa177.2.2",99.4547,"K1_R1_I3_G1",3
"3530","05LoS3_1","05LoS16R1_16",99.4457,"K1_R1_I3_G1",3
"3538","05LoS3_1","19AcAm43.3.1",99.4203,"K1_R1_I3_G1",3
"17254","19AcARN300.2.1","05LoS3_1",99.4782,"K1_R1_I3_G1",3
"17286","19AcARN300.2.1","05LoS16R1_16",99.3103,"K1_R1_I3_G1",3
"17292","19AcARN300.2.1","19AcPa177.2.2",99.2804,"K1_R1_I3_G1",3
"173051","19AcARN300.2.1","19AcAm43.3.1",99.2301,"K1_R1_I3_G1",3
"24722","19AcAm43.3.1","05LoS3_1",99.4164,"K1_R1_I3_G1",3
"24739","19AcAm43.3.1","19AcPa177.2.2",99.3194,"K1_R1_I3_G1",3
"24754","19AcAm43.3.1","19AcARN300.2.1",99.225,"K1_R1_I3_G1",3
"24757","19AcAm43.3.1","05LoS16R1_16",99.1988,"K1_R1_I3_G1",3
"39859","19AcPa177.2.2","05LoS3_1",99.4559,"K1_R1_I3_G1",3
"39874","19AcPa177.2.2","05LoS16R1_16",99.3448,"K1_R1_I3_G1",3
"39882","19AcPa177.2.2","19AcAm43.3.1",99.3239,"K1_R1_I3_G1",3
"39895","19AcPa177.2.2","19AcARN300.2.1",99.2833,"K1_R1_I3_G1",3
"18085","19AcARN268.1.1","19AcAm129.3.1",99.8268,"K1_R1_I1_G1",4
"18116","19AcARN268.1.1","19AcS398sp.3.1",99.7433,"K1_R1_I1_G1",4
"18162","19AcARN268.1.1","19AcPa177.2.2",99.6539,"K1_R1_I1_G1",4
"18200","19AcARN268.1.1","19AcD266.3.1",99.4454,"K1_R1_I1_G1",4
"21242","19AcAm129.3.1","19AcARN268.1.1",99.8286,"K1_R1_I1_G1",4
"21249","19AcAm129.3.1","19AcS398sp.3.1",99.7986,"K1_R1_I1_G1",4
"21293","19AcAm129.3.1","19AcPa177.2.2",99.6778,"K1_R1_I1_G1",4
"21323","19AcAm129.3.1","19AcD266.3.1",99.5202,"K1_R1_I1_G1",4
"28459","19AcD266.3.1","19AcS398sp.3.1",99.5411,"K1_R1_I1_G1",4
"28473","19AcD266.3.1","19AcAm129.3.1",99.5157,"K1_R1_I1_G1",4
"28486","19AcD266.3.1","19AcARN268.1.1",99.4429,"K1_R1_I1_G1",4
"28534","19AcD266.3.1","19AcPa177.2.2",99.3255,"K1_R1_I1_G1",4
"43164","19AcPa177.2.2","19AcAm129.3.1",99.6744,"K1_R1_I1_G1",4
"43181","19AcPa177.2.2","19AcARN268.1.1",99.6543,"K1_R1_I1_G1",4
"43220","19AcPa177.2.2","19AcS398sp.3.1",99.5549,"K1_R1_I1_G1",4
"43263","19AcPa177.2.2","19AcD266.3.1",99.3229,"K1_R1_I1_G1",4
"53520","19AcS398sp.3.1","19AcAm129.3.1",99.7994,"K1_R1_I1_G1",4
"53535","19AcS398sp.3.1","19AcARN268.1.1",99.7469,"K1_R1_I1_G1",4
"53595","19AcS398sp.3.1","19AcPa177.2.2",99.5604,"K1_R1_I1_G1",4
"53606","19AcS398sp.3.1","19AcD266.3.1",99.5353,"K1_R1_I1_G1",4
"18155","19AcARN268.1.1","19AcGLB102.2.2",99.6624,"K1_R3_I1_G1",4
"18163","19AcARN268.1.1","19AcGLB198.2.2",99.6376,"K1_R3_I1_G1",4
"18183","19AcARN268.1.1","19AcS312.2.1",99.5457,"K1_R3_I1_G1",4
"18205","19AcARN268.1.1","19AcHe316.1.1",99.333,"K1_R3_I1_G1",4
"31604","19AcGLB102.2.2","19AcARN268.1.1",99.6669,"K1_R3_I1_G1",4
"31643","19AcGLB102.2.2","19AcGLB198.2.2",99.5393,"K1_R3_I1_G1",4
"31685","19AcGLB102.2.2","19AcS312.2.1",99.3977,"K1_R3_I1_G1",4
"31701","19AcGLB102.2.2","19AcHe316.1.1",99.1905,"K1_R3_I1_G1",4
"33766","19AcGLB198.2.2","19AcARN268.1.1",99.6339,"K1_R3_I1_G1",4
"33795","19AcGLB198.2.2","19AcGLB102.2.2",99.5361,"K1_R3_I1_G1",4
"33852","19AcGLB198.2.2","19AcS312.2.1",99.3684,"K1_R3_I1_G1",4
"33869","19AcGLB198.2.2","19AcHe316.1.1",99.1589,"K1_R3_I1_G1",4
"35241","19AcHe316.1.1","19AcARN268.1.1",99.3298,"K1_R3_I1_G1",4
"35287","19AcHe316.1.1","19AcGLB102.2.2",99.187,"K1_R3_I1_G1",4
"35290","19AcHe316.1.1","19AcGLB198.2.2",99.1622,"K1_R3_I1_G1",4
"35303","19AcHe316.1.1","19AcS312.2.1",99.0372,"K1_R3_I1_G1",4
"51616","19AcS312.2.1","19AcARN268.1.1",99.5433,"K1_R3_I1_G1",4
"51683","19AcS312.2.1","19AcGLB102.2.2",99.394,"K1_R3_I1_G1",4
"51691","19AcS312.2.1","19AcGLB198.2.2",99.3569,"K1_R3_I1_G1",4
"51705","19AcS312.2.1","19AcHe316.1.1",99.0358,"K1_R3_I1_G1",4
"1694","05LoS16R1_16","05LoS3_1",99.8058,"K1_R1_I3_G1",4
"1705","05LoS16R1_16","19AcPa177.2.2",99.7419,"K1_R1_I3_G1",4
"1710","05LoS16R1_16","19AcARN300.2.1",99.7345,"K1_R1_I3_G1",4
"1817","05LoS16R1_16","19AcHe316.1.1",99.2326,"K1_R1_I3_G1",4
"4362","05LoS3_1","05LoS16R1_16",99.804,"K1_R1_I3_G1",4
"4378","05LoS3_1","19AcARN300.2.1",99.7701,"K1_R1_I3_G1",4
"44271","05LoS3_1","19AcPa177.2.2",99.6434,"K1_R1_I3_G1",4
"4469","05LoS3_1","19AcHe316.1.1",99.25,"K1_R1_I3_G1",4
"19335","19AcARN300.2.1","05LoS3_1",99.7698,"K1_R1_I3_G1",4
"19348","19AcARN300.2.1","05LoS16R1_16",99.7336,"K1_R1_I3_G1",4
"19373","19AcARN300.2.1","19AcPa177.2.2",99.6043,"K1_R1_I3_G1",4
"19404","19AcARN300.2.1","19AcHe316.1.1",99.407,"K1_R1_I3_G1",4
"35214","19AcHe316.1.1","19AcARN300.2.1",99.401,"K1_R1_I3_G1",4
"35264","19AcHe316.1.1","19AcPa177.2.2",99.2886,"K1_R1_I3_G1",4
"35271","19AcHe316.1.1","05LoS3_1",99.2522,"K1_R1_I3_G1",4
"35278","19AcHe316.1.1","05LoS16R1_16",99.2355,"K1_R1_I3_G1",4
"43147","19AcPa177.2.2","05LoS16R1_16",99.7415,"K1_R1_I3_G1",4
"43186","19AcPa177.2.2","05LoS3_1",99.643,"K1_R1_I3_G1",4
"43194","19AcPa177.2.2","19AcARN300.2.1",99.6023,"K1_R1_I3_G1",4
"43266","19AcPa177.2.2","19AcHe316.1.1",99.2922,"K1_R1_I3_G1",4
"2426","05LoS1_4","19AcHe317.2.1",99.8479,"K1_R1_I1_G1",5
"2438","05LoS1_4","19AcAm185.3.1",99.7757,"K1_R1_I1_G1",5
"2506","05LoS1_4","19AcAm43.3.1",99.652,"K1_R1_I1_G1",5
"2547","05LoS1_4","19AcPa177.2.2",99.3159,"K1_R1_I1_G1",5
"22310","19AcAm185.3.1","05LoS1_4",99.77,"K1_R1_I1_G1",5
"22319","19AcAm185.3.1","19AcHe317.2.1",99.7462,"K1_R1_I1_G1",5
"22356","19AcAm185.3.1","19AcAm43.3.1",99.6529,"K1_R1_I1_G1",5
"22388","19AcAm185.3.1","19AcPa177.2.2",99.4509,"K1_R1_I1_G1",5
"28148","19AcAm43.3.1","19AcHe317.2.1",99.5041,"K1_R1_I1_G1",5
"28173","19AcAm43.3.1","05LoS1_4",99.4485,"K1_R1_I1_G1",5
"28176","19AcAm43.3.1","19AcAm185.3.1",99.446,"K1_R1_I1_G1",5
"28200","19AcAm43.3.1","19AcPa177.2.2",99.1227,"K1_R1_I1_G1",5
"36787","19AcHe317.2.1","05LoS1_4",99.8452,"K1_R1_I1_G1",5
"36808","19AcHe317.2.1","19AcAm185.3.1",99.7483,"K1_R1_I1_G1",5
"36825","19AcHe317.2.1","19AcAm43.3.1",99.715,"K1_R1_I1_G1",5
"36911","19AcHe317.2.1","19AcPa177.2.2",99.2534,"K1_R1_I1_G1",5
"44070","19AcPa177.2.2","19AcAm185.3.1",99.4559,"K1_R1_I1_G1",5
"44136","19AcPa177.2.2","05LoS1_4",99.3191,"K1_R1_I1_G1",5
"44139","19AcPa177.2.2","19AcAm43.3.1",99.308,"K1_R1_I1_G1",5
"44157","19AcPa177.2.2","19AcHe317.2.1",99.2589,"K1_R1_I1_G1",5
"1714","05LoS16R1_16","19AcGLB102.2.2",99.7643,"K1_R3_I1_G1",5
"1764","05LoS16R1_16","19AcHe316.1.1",99.6676,"K1_R3_I1_G1",5
"1774","05LoS16R1_16","19AcS312.2.1",99.6442,"K1_R3_I1_G1",5
"1818","05LoS16R1_16","19AcGLB198.2.2",99.3791,"K1_R3_I1_G1",5
"32227","19AcGLB102.2.2","19AcS312.2.1",99.7944,"K1_R3_I1_G1",5
"32238","19AcGLB102.2.2","05LoS16R1_16",99.7582,"K1_R3_I1_G1",5
"32280","19AcGLB102.2.2","19AcHe316.1.1",99.6557,"K1_R3_I1_G1",5
"32297","19AcGLB102.2.2","19AcGLB198.2.2",99.5234,"K1_R3_I1_G1",5
"34385","19AcGLB198.2.2","19AcGLB102.2.2",99.7498,"K1_R3_I1_G1",5
"34399","19AcGLB198.2.2","19AcS312.2.1",99.7258,"K1_R3_I1_G1",5
"34470","19AcGLB198.2.2","19AcHe316.1.1",99.6054,"K1_R3_I1_G1",5
"34474","19AcGLB198.2.2","05LoS16R1_16",99.5928,"K1_R3_I1_G1",5
"36597","19AcHe316.1.1","05LoS16R1_16",99.6702,"K1_R3_I1_G1",5
"36606","19AcHe316.1.1","19AcGLB102.2.2",99.6586,"K1_R3_I1_G1",5
"36636","19AcHe316.1.1","19AcGLB198.2.2",99.6005,"K1_R3_I1_G1",5
"36646","19AcHe316.1.1","19AcS312.2.1",99.5867,"K1_R3_I1_G1",5
"52296","19AcS312.2.1","19AcGLB198.2.2",99.7251,"K1_R3_I1_G1",5
"52340","19AcS312.2.1","19AcHe316.1.1",99.5807,"K1_R3_I1_G1",5
"52341","19AcS312.2.1","19AcGLB102.2.2",99.5774,"K1_R3_I1_G1",5
"52378","19AcS312.2.1","05LoS16R1_16",99.4295,"K1_R3_I1_G1",5
"17101","05LoS16R1_16","05LoS3_1",99.7782,"K1_R1_I3_G1",5
"1726","05LoS16R1_16","19AcARN300.2.1",99.7314,"K1_R1_I3_G1",5
"17841","05LoS16R1_16","19AcARN268.1.1",99.6298,"K1_R1_I3_G1",5
"1787","05LoS16R1_16","19AcAm43.3.1",99.6201,"K1_R1_I3_G1",5
"4604","05LoS3_1","05LoS16R1_16",99.7739,"K1_R1_I3_G1",5
"4641","05LoS3_1","19AcARN300.2.1",99.7051,"K1_R1_I3_G1",5
"4664","05LoS3_1","19AcAm43.3.1",99.6334,"K1_R1_I3_G1",5
"4680","05LoS3_1","19AcARN268.1.1",99.6066,"K1_R1_I3_G1",5
"17738","19AcARN268.1.1","19AcAm43.3.1",99.5727,"K1_R1_I3_G1",5
"17743","19AcARN268.1.1","19AcARN300.2.1",99.5554,"K1_R1_I3_G1",5
"17779","19AcARN268.1.1","05LoS16R1_16",99.4171,"K1_R1_I3_G1",5
"17784","19AcARN268.1.1","05LoS3_1",99.4053,"K1_R1_I3_G1",5
"19156","19AcARN300.2.1","19AcARN268.1.1",99.7711,"K1_R1_I3_G1",5
"19170","19AcARN300.2.1","05LoS16R1_16",99.7293,"K1_R1_I3_G1",5
"19185","19AcARN300.2.1","05LoS3_1",99.7055,"K1_R1_I3_G1",5
"19213","19AcARN300.2.1","19AcAm43.3.1",99.6367,"K1_R1_I3_G1",5
"28133","19AcAm43.3.1","19AcARN268.1.1",99.5686,"K1_R1_I3_G1",5
"28177","19AcAm43.3.1","05LoS3_1",99.4314,"K1_R1_I3_G1",5
"28178","19AcAm43.3.1","19AcARN300.2.1",99.4303,"K1_R1_I3_G1",5
"28180","19AcAm43.3.1","05LoS16R1_16",99.4211,"K1_R1_I3_G1",5
"2001","05LoS1_4","19AcS312.2.1",99.7517,"K1_R1_I1_G1",6
"2010","05LoS1_4","11LoS28_6",99.7108,"K1_R1_I1_G1",6
"2059","05LoS1_4","19AcS183.3.1",99.5164,"K1_R1_I1_G1",6
"2082","05LoS1_4","19AcS136.2.1",99.4474,"K1_R1_I1_G1",6
"9465","11LoS28_6","19AcS312.2.1",99.8375,"K1_R1_I1_G1",6
"9487","11LoS28_6","05LoS1_4",99.7065,"K1_R1_I1_G1",6
"9503","11LoS28_6","19AcS183.3.1",99.5952,"K1_R1_I1_G1",6
"9512","11LoS28_6","19AcS136.2.1",99.5542,"K1_R1_I1_G1",6
"50063","19AcS136.2.1","19AcS183.3.1",99.8277,"K1_R1_I1_G1",6
"50119","19AcS136.2.1","19AcS312.2.1",99.5847,"K1_R1_I1_G1",6
"50128","19AcS136.2.1","11LoS28_6",99.5543,"K1_R1_I1_G1",6
"50147","19AcS136.2.1","05LoS1_4",99.4459,"K1_R1_I1_G1",6
"52556","19AcS183.3.1","19AcS136.2.1",99.8311,"K1_R1_I1_G1",6
"52598","19AcS183.3.1","19AcS312.2.1",99.6318,"K1_R1_I1_G1",6
"52605","19AcS183.3.1","11LoS28_6",99.5953,"K1_R1_I1_G1",6
"52631","19AcS183.3.1","05LoS1_4",99.517,"K1_R1_I1_G1",6
"55533","19AcS312.2.1","11LoS28_6",99.8378,"K1_R1_I1_G1",6
"55549","19AcS312.2.1","05LoS1_4",99.7493,"K1_R1_I1_G1",6
