"","isolate1","isolate2","ani","population","sample"
"12172","11LoS8_1","19AcS5.6.1",98.4373,"metapop",2
"12174","11LoS8_1","09LoS35_1",98.4276,"metapop",2
"12276","11LoS8_1","09LoS36_4",90.3476,"metapop",2
"48010","19AcS179.2.1","19AcS5.6.1",99.1607,"metapop",2
"48016","19AcS179.2.1","09LoS35_1",99.0464,"metapop",2
"48047","19AcS179.2.1","11LoS8_1",98.7918,"metapop",2
"48173","19AcS179.2.1","09LoS36_4",90.9215,"metapop",2
"54234","19AcS5.6.1","09LoS35_1",99.4777,"metapop",2
"54262","19AcS5.6.1","19AcS179.2.1",99.1605,"metapop",2
"54345","19AcS5.6.1","11LoS8_1",98.4376,"metapop",2
"54431","19AcS5.6.1","09LoS36_4",91.0018,"metapop",2
"3690","05LoS23R7_12","19AcS398sp.3.1",98.976,"species",2
"3693","05LoS23R7_12","11LoS21_3",98.9572,"species",2
"3741","05LoS23R7_12","19AcAm208.3.1",98.41,"species",2
"3751","05LoS23R7_12","19AcAm184.2.1",96.1567,"species",2
"8743","11LoS21_3","05LoS23R7_12",98.9087,"species",2
"8760","11LoS21_3","19AcAm208.3.1",98.6972,"species",2
"8778","11LoS21_3","19AcS398sp.3.1",98.5322,"species",2
"8810","11LoS21_3","19AcAm184.2.1",96.2904,"species",2
"21273","19AcAm184.2.1","05LoS23R7_12",96.1351,"species",2
"21284","19AcAm184.2.1","11LoS21_3",95.9501,"species",2
"21328","19AcAm184.2.1","19AcS398sp.3.1",95.6952,"species",2
"21350","19AcAm184.2.1","19AcAm208.3.1",95.4016,"species",2
"23680","19AcAm208.3.1","19AcS398sp.3.1",98.8081,"species",2
"23693","19AcAm208.3.1","11LoS21_3",98.7135,"species",2
"23740","19AcAm208.3.1","05LoS23R7_12",98.3782,"species",2
"23772","19AcAm208.3.1","19AcAm184.2.1",95.7215,"species",2
"53563","19AcS398sp.3.1","05LoS23R7_12",98.9438,"species",2
"53586","19AcS398sp.3.1","19AcAm208.3.1",98.8076,"species",2
"53614","19AcS398sp.3.1","11LoS21_3",98.5515,"species",2
"53657","19AcS398sp.3.1","19AcAm184.2.1",95.7028,"species",2
"22204","19AcAm206.2.1","19AcS136.2.1",99.0117,"metapop",3
"22237","19AcAm206.2.1","19AcS182.1.1",98.8109,"metapop",3
"22278","19AcAm206.2.1","19AcGLB381sp.3.1",95.7726,"metapop",3
"22295","19AcAm206.2.1","38B",93.1175,"metapop",3
"31279","19AcGLB381sp.3.1","19AcAm206.2.1",95.7859,"metapop",3
"31285","19AcGLB381sp.3.1","19AcS182.1.1",95.7731,"metapop",3
"31335","19AcGLB381sp.3.1","19AcS136.2.1",95.6051,"metapop",3
"31382","19AcGLB381sp.3.1","38B",93.4955,"metapop",3
"42894","19AcS136.2.1","19AcS182.1.1",99.4915,"metapop",3
"42986","19AcS136.2.1","19AcAm206.2.1",99.029,"metapop",3
"43021","19AcS136.2.1","19AcGLB381sp.3.1",95.615,"metapop",3
"43035","19AcS136.2.1","38B",92.6692,"metapop",3
"44758","19AcS182.1.1","19AcS136.2.1",99.4969,"metapop",3
"44863","19AcS182.1.1","19AcAm206.2.1",98.8219,"metapop",3
"44880","19AcS182.1.1","19AcGLB381sp.3.1",95.7452,"metapop",3
"44898","19AcS182.1.1","38B",92.6703,"metapop",3
"50802","38B","19AcGLB381sp.3.1",93.4868,"metapop",3
"50836","38B","19AcAm206.2.1",93.0874,"metapop",3
"50938","38B","19AcS182.1.1",92.6565,"metapop",3
"50951","38B","19AcS136.2.1",92.6115,"metapop",3
"8165","11LoS28_6","19AcD266.1.1",99.6284,"species",3
"8178","11LoS28_6","19AcPa151A.1.1",99.5005,"species",3
"8261","11LoS28_6","19AcS121.1.1",99.1512,"species",3
"8283","11LoS28_6","19AcPa174.1.2",98.8522,"species",3
"24938","19AcD266.1.1","11LoS28_6",99.6317,"species",3
"24965","19AcD266.1.1","19AcPa151A.1.1",99.4681,"species",3
"24982","19AcD266.1.1","19AcS121.1.1",99.3774,"species",3
"25056","19AcD266.1.1","19AcPa174.1.2",98.9276,"species",3
"37758","19AcPa151A.1.1","11LoS28_6",99.5074,"species",3
"37764","19AcPa151A.1.1","19AcD266.1.1",99.4694,"species",3
"37867","19AcPa151A.1.1","19AcS121.1.1",98.9086,"species",3
"37874","19AcPa151A.1.1","19AcPa174.1.2",98.7082,"species",3
"38230","19AcPa174.1.2","19AcS121.1.1",99.2247,"species",3
"38294","19AcPa174.1.2","19AcD266.1.1",98.9311,"species",3
"38315","19AcPa174.1.2","11LoS28_6",98.8535,"species",3
"38330","19AcPa174.1.2","19AcPa151A.1.1",98.7013,"species",3
"42206","19AcS121.1.1","19AcD266.1.1",99.3725,"species",3
"42232","19AcS121.1.1","19AcPa174.1.2",99.2214,"species",3
"42250","19AcS121.1.1","11LoS28_6",99.1498,"species",3
"42293","19AcS121.1.1","19AcPa151A.1.1",98.9071,"species",3
"14488","13LoS58_2","19AcNV332.3.1",91.8341,"metapop",4
"14489","13LoS58_2","19AcNV335.2.1",91.8221,"metapop",4
"14579","13LoS58_2","19AcARN268.1.1",90.7053,"metapop",4
"14609","13LoS58_2","19AcS308.2.1",90.672,"metapop",4
"18127","19AcARN268.1.1","19AcS308.2.1",99.7277,"metapop",4
"18254","19AcARN268.1.1","19AcNV332.3.1",91.5184,"metapop",4
"18255","19AcARN268.1.1","19AcNV335.2.1",91.5142,"metapop",4
"18279","19AcARN268.1.1","13LoS58_2",90.6013,"metapop",4
"36157","19AcNV332.3.1","19AcNV335.2.1",98.7813,"metapop",4
"36177","19AcNV332.3.1","13LoS58_2",92.0061,"metapop",4
"36237","19AcNV332.3.1","19AcS308.2.1",91.6251,"metapop",4
"36265","19AcNV332.3.1","19AcARN268.1.1",91.5957,"metapop",4
"37846","19AcNV335.2.1","19AcNV332.3.1",98.7891,"metapop",4
"37882","19AcNV335.2.1","13LoS58_2",91.818,"metapop",4
"37913","19AcNV335.2.1","19AcS308.2.1",91.6837,"metapop",4
"37938","19AcNV335.2.1","19AcARN268.1.1",91.6395,"metapop",4
"50913","19AcS308.2.1","19AcARN268.1.1",99.7284,"metapop",4
"51028","19AcS308.2.1","19AcNV332.3.1",91.5764,"metapop",4
"51032","19AcS308.2.1","19AcNV335.2.1",91.5159,"metapop",4
"51056","19AcS308.2.1","13LoS58_2",90.6171,"metapop",4
"7031","11LoS13_1","19AcAm127A.2.1",99.5799,"species",4
"7052","11LoS13_1","19AcPa151A.1.1",99.5396,"species",4
"7080","11LoS13_1","19AcGLB102.2.2",99.474,"species",4
"7119","11LoS13_1","11LoS7_1",99.1343,"species",4
"12317","11LoS7_1","19AcPa151A.1.1",99.4012,"species",4
"12338","11LoS7_1","19AcAm127A.2.1",99.3347,"species",4
"12386","11LoS7_1","19AcGLB102.2.2",99.2113,"species",4
"12401","11LoS7_1","11LoS13_1",99.1368,"species",4
"20314","19AcAm127A.2.1","19AcPa151A.1.1",99.6255,"species",4
"20322","19AcAm127A.2.1","19AcGLB102.2.2",99.6033,"species",4
"20333","19AcAm127A.2.1","11LoS13_1",99.5784,"species",4
"20372","19AcAm127A.2.1","11LoS7_1",99.33,"species",4
"31625","19AcGLB102.2.2","19AcAm127A.2.1",99.6044,"species",4
"31665","19AcGLB102.2.2","19AcPa151A.1.1",99.4913,"species",4
"31671","19AcGLB102.2.2","11LoS13_1",99.4717,"species",4
"31700","19AcGLB102.2.2","11LoS7_1",99.222,"species",4
"40805","19AcPa151A.1.1","19AcAm127A.2.1",99.6284,"species",4
"40823","19AcPa151A.1.1","11LoS13_1",99.5366,"species",4
"40830","19AcPa151A.1.1","19AcGLB102.2.2",99.4893,"species",4
"40851","19AcPa151A.1.1","11LoS7_1",99.3991,"species",4
"7616","11LoS14_3","19AcAm127.1.1",90.5045,"metapop",5
"7627","11LoS14_3","19AcAm129.3.1",90.4648,"metapop",5
"7703","11LoS14_3","19AcAm42.2.1",89.9823,"metapop",5
"7734","11LoS14_3","19AcAm42.7.1",89.652,"metapop",5
"20172","19AcAm127.1.1","19AcAm129.3.1",99.2041,"metapop",5
"20228","19AcAm127.1.1","19AcAm42.2.1",95.7199,"metapop",5
"20248","19AcAm127.1.1","19AcAm42.7.1",95.258,"metapop",5
"20282","19AcAm127.1.1","11LoS14_3",90.6476,"metapop",5
"21667","19AcAm129.3.1","19AcAm127.1.1",99.235,"metapop",5
"21690","19AcAm129.3.1","19AcAm42.2.1",95.9099,"metapop",5
"21700","19AcAm129.3.1","19AcAm42.7.1",95.74,"metapop",5
"21746","19AcAm129.3.1","11LoS14_3",90.5067,"metapop",5
"27352","19AcAm42.2.1","19AcAm42.7.1",99.5969,"metapop",5
"27439","19AcAm42.2.1","19AcAm129.3.1",95.9262,"metapop",5
"27485","19AcAm42.2.1","19AcAm127.1.1",95.7735,"metapop",5
"27578","19AcAm42.2.1","11LoS14_3",90.0149,"metapop",5
"27592","19AcAm42.7.1","19AcAm42.2.1",99.6036,"metapop",5
"27641","19AcAm42.7.1","19AcAm129.3.1",95.7516,"metapop",5
"27748","19AcAm42.7.1","19AcAm127.1.1",95.3239,"metapop",5
"27820","19AcAm42.7.1","11LoS14_3",89.6553,"metapop",5
"5338","09LoS36_1","19AcS307.1.1",99.8288,"species",5
"5391","09LoS36_1","11LoS7_1",99.6752,"species",5
"5420","09LoS36_1","19AcPa283.2.1",99.5472,"species",5
"5480","09LoS36_1","19AcAm43.1.1",95.6959,"species",5
"11899","11LoS7_1","19AcPa283.2.1",99.5811,"species",5
"11935","11LoS7_1","09LoS36_1",99.4588,"species",5
"11953","11LoS7_1","19AcS307.1.1",99.413,"species",5
"12021","11LoS7_1","19AcAm43.1.1",95.4675,"species",5
"27846","19AcAm43.1.1","11LoS7_1",95.924,"species",5
"27903","19AcAm43.1.1","09LoS36_1",95.7224,"species",5
"27909","19AcAm43.1.1","19AcS307.1.1",95.7102,"species",5
"27987","19AcAm43.1.1","19AcPa283.2.1",95.3439,"species",5
"45033","19AcPa283.2.1","09LoS36_1",99.5442,"species",5
"45069","19AcPa283.2.1","19AcS307.1.1",99.4466,"species",5
"45130","19AcPa283.2.1","11LoS7_1",98.941,"species",5
"45168","19AcPa283.2.1","19AcAm43.1.1",95.4543,"species",5
"50841","19AcS307.1.1","09LoS36_1",99.8271,"species",5
"50914","19AcS307.1.1","11LoS7_1",99.6204,"species",5
"50944","19AcS307.1.1","19AcPa283.2.1",99.4458,"species",5
"50977","19AcS307.1.1","19AcAm43.1.1",95.6893,"species",5
"252","05LoH17.10","05LoS14_6",99.9965,"metapop",6
"291","05LoH17.10","11LoS28_4",96.3452,"metapop",6
"383","05LoH17.10","19AcAm209.2.1",96.0268,"metapop",6
"423","05LoH17.10","38B",93.5898,"metapop",6
"500","05LoS14_6","05LoH17.10",99.9965,"metapop",6
"540","05LoS14_6","11LoS28_4",96.3452,"metapop",6
"632","05LoS14_6","19AcAm209.2.1",96.0268,"metapop",6
"672","05LoS14_6","38B",93.5898,"metapop",6
"9280","11LoS28_4","19AcAm209.2.1",99.4896,"metapop",6
"9351","11LoS28_4","05LoS14_6",96.3528,"metapop",6
"9353","11LoS28_4","05LoH17.10",96.3528,"metapop",6
"9385","11LoS28_4","38B",93.7276,"metapop",6
"26489","19AcAm209.2.1","11LoS28_4",99.4911,"metapop",6
"26547","19AcAm209.2.1","05LoS14_6",96.0474,"metapop",6
"26548","19AcAm209.2.1","05LoH17.10",96.0474,"metapop",6
"26564","19AcAm209.2.1","38B",93.8185,"metapop",6
"58321","38B","19AcAm209.2.1",93.8103,"metapop",6
"58344","38B","05LoS14_6",93.7161,"metapop",6
"58345","38B","05LoH17.10",93.7161,"metapop",6
"58415","38B","11LoS28_4",93.4231,"metapop",6
"1004","05LoS16R10_36","19AcAm206.1.1",98.663,"species",6
"1030","05LoS16R10_36","19AcS142.2.1",96.5425,"species",6
"1065","05LoS16R10_36","19AcAm40.6.1",96.378,"species",6
"1144","05LoS16R10_36","11LoS34_6",96.0525,"species",6
"12285","11LoS34_6","19AcAm40.6.1",99.5029,"species",6
"12295","11LoS34_6","19AcS142.2.1",99.4694,"species",6
"12351","11LoS34_6","05LoS16R10_36",96.0401,"species",6
"12357","11LoS34_6","19AcAm206.1.1",95.9929,"species",6
"25156","19AcAm206.1.1","05LoS16R10_36",98.6626,"species",6
"25179","19AcAm206.1.1","19AcAm40.6.1",96.4022,"species",6
"25205","19AcAm206.1.1","19AcS142.2.1",96.3437,"species",6
"25293","19AcAm206.1.1","11LoS34_6",95.972,"species",6
"28172","19AcAm40.6.1","19AcS142.2.1",99.6272,"species",6
"28213","19AcAm40.6.1","11LoS34_6",99.5022,"species",6
"28271","19AcAm40.6.1","19AcAm206.1.1",96.4199,"species",6
"28273","19AcAm40.6.1","05LoS16R10_36",96.3529,"species",6
"50336","19AcS142.2.1","19AcAm40.6.1",99.6261,"species",6
"50376","19AcS142.2.1","11LoS34_6",99.4641,"species",6
"50433","19AcS142.2.1","05LoS16R10_36",96.5143,"species",6
"50435","19AcS142.2.1","19AcAm206.1.1",96.3555,"species",6
"3213","05LoS21R6_43","19AcAm206.2.1",99.7828,"metapop",7
"3218","05LoS21R6_43","05LoS23_10",99.7286,"metapop",7
"3257","05LoS21R6_43","05LoS22_10",99.4783,"metapop",7
"3420","05LoS21R6_43","19AcD281.1.1",90.9305,"metapop",7
"3450","05LoS22_10","05LoS21R6_43",99.4901,"metapop",7
"3465","05LoS22_10","19AcAm206.2.1",99.4203,"metapop",7
"3472","05LoS22_10","05LoS23_10",99.3679,"metapop",7
"3674","05LoS22_10","19AcD281.1.1",90.9085,"metapop",7
"4189","05LoS23_10","19AcAm206.2.1",99.8786,"metapop",7
"4200","05LoS23_10","05LoS21R6_43",99.7288,"metapop",7
"4310","05LoS23_10","05LoS22_10",99.3616,"metapop",7
"4427","05LoS23_10","19AcD281.1.1",90.7337,"metapop",7
"25346","19AcAm206.2.1","05LoS23_10",99.8791,"metapop",7
"25355","19AcAm206.2.1","05LoS21R6_43",99.7853,"metapop",7
"25443","19AcAm206.2.1","05LoS22_10",99.411,"metapop",7
"25578","19AcAm206.2.1","19AcD281.1.1",90.9119,"metapop",7
"31064","19AcD281.1.1","05LoS21R6_43",91.0441,"metapop",7
"31169","19AcD281.1.1","19AcAm206.2.1",90.8996,"metapop",7
"31197","19AcD281.1.1","05LoS23_10",90.8741,"metapop",7
"31216","19AcD281.1.1","05LoS22_10",90.8125,"metapop",7
"5719","09LoS36_1","11LoS18_3",99.639,"species",7
"5746","09LoS36_1","19AcPa178.2.1",99.5573,"species",7
"5761","09LoS36_1","19AcS142.3.1",99.5204,"species",7
"5824","09LoS36_1","19AcAm188A.1.1",96.0245,"species",7
"8389","11LoS18_3","19AcPa178.2.1",99.8054,"species",7
"8439","11LoS18_3","09LoS36_1",99.619,"species",7
"8494","11LoS18_3","19AcS142.3.1",99.3856,"species",7
"8529","11LoS18_3","19AcAm188A.1.1",96.0117,"species",7
"24425","19AcAm188A.1.1","19AcPa178.2.1",96.047,"species",7
"24439","19AcAm188A.1.1","09LoS36_1",96.0324,"species",7
"24443","19AcAm188A.1.1","11LoS18_3",96.0298,"species",7
"24507","19AcAm188A.1.1","19AcS142.3.1",95.9892,"species",7
"45770","19AcPa178.2.1","11LoS18_3",99.8121,"species",7
"45860","19AcPa178.2.1","09LoS36_1",99.5618,"species",7
"45886","19AcPa178.2.1","19AcS142.3.1",99.4517,"species",7
"45922","19AcPa178.2.1","19AcAm188A.1.1",96.0357,"species",7
"49264","19AcS142.3.1","09LoS36_1",99.5202,"species",7
"49293","19AcS142.3.1","19AcPa178.2.1",99.4461,"species",7
"49302","19AcS142.3.1","11LoS18_3",99.4263,"species",7
"49367","19AcS142.3.1","19AcAm188A.1.1",95.9781,"species",7
"25840","19AcAm39.4.1","19AcGLB197.2.1",91.8828,"metapop",8
"25849","19AcAm39.4.1","19AcGLB10.1.1",91.6344,"metapop",8
"25857","19AcAm39.4.1","19AcS295.1.1",91.3618,"metapop",8
"25864","19AcAm39.4.1","19AcD306.1.1",91.0519,"metapop",8
"30982","19AcD306.1.1","19AcS295.1.1",92.6368,"metapop",8
"31017","19AcD306.1.1","19AcGLB10.1.1",91.3379,"metapop",8
"31055","19AcD306.1.1","19AcAm39.4.1",91.2212,"metapop",8
"31141","19AcD306.1.1","19AcGLB197.2.1",90.9661,"metapop",8
"31233","19AcGLB10.1.1","19AcGLB197.2.1",93.9671,"metapop",8
"31298","19AcGLB10.1.1","19AcAm39.4.1",91.6669,"metapop",8
"31426","19AcGLB10.1.1","19AcD306.1.1",91.4066,"metapop",8
"31441","19AcGLB10.1.1","19AcS295.1.1",91.1305,"metapop",8
"33157","19AcGLB197.2.1","19AcGLB10.1.1",94.0008,"metapop",8
"33200","19AcGLB197.2.1","19AcAm39.4.1",92.0352,"metapop",8
"33385","19AcGLB197.2.1","19AcS295.1.1",90.8094,"metapop",8
"33386","19AcGLB197.2.1","19AcD306.1.1",90.723,"metapop",8
"49615","19AcS295.1.1","19AcD306.1.1",92.721,"metapop",8
"49633","19AcS295.1.1","19AcGLB10.1.1",91.4544,"metapop",8
"49752","19AcS295.1.1","19AcAm39.4.1",91.1105,"metapop",8
"49790","19AcS295.1.1","19AcGLB197.2.1",90.9557,"metapop",8
"9710","11LoS28_6","CW9",99.6626,"species",8
"9749","11LoS28_6","CW7",99.5563,"species",8
"9753","11LoS28_6","19AcS11.1.1",99.5511,"species",8
"9790","11LoS28_6","19AcS142.2.1",99.4313,"species",8
"45535","19AcS11.1.1","11LoS28_6",99.5469,"species",8
"45553","19AcS11.1.1","CW7",99.5232,"species",8
"45561","19AcS11.1.1","CW9",99.51,"species",8
"45608","19AcS11.1.1","19AcS142.2.1",99.2911,"species",8
"46755","19AcS142.2.1","CW9",99.4383,"species",8
"46765","19AcS142.2.1","11LoS28_6",99.4262,"species",8
"46788","19AcS142.2.1","CW7",99.3546,"species",8
"46801","19AcS142.2.1","19AcS11.1.1",99.2942,"species",8
"57123","CW7","CW9",99.696,"species",8
"57170","CW7","11LoS28_6",99.5532,"species",8
"57185","CW7","19AcS11.1.1",99.5238,"species",8
"57224","CW7","19AcS142.2.1",99.3578,"species",8
"57380","CW9","CW7",99.6934,"species",8
"57389","CW9","11LoS28_6",99.662,"species",8
"57456","CW9","19AcS11.1.1",99.5054,"species",8
"57464","CW9","19AcS142.2.1",99.4386,"species",8
"3865","05LoS23R7_12","05LoS23_10",99.5052,"metapop",9
"4004","05LoS23R7_12","19AcNV332.2.1",90.893,"metapop",9
"4044","05LoS23R7_12","13LoS14_2",89.4722,"metapop",9
"4049","05LoS23R7_12","11LoS32_1",89.3947,"metapop",9
"4092","05LoS23_10","05LoS23R7_12",99.5118,"metapop",9
"4249","05LoS23_10","19AcNV332.2.1",90.2995,"metapop",9
"4273","05LoS23_10","11LoS32_1",89.5642,"metapop",9
"4291","05LoS23_10","13LoS14_2",88.9808,"metapop",9
"10294","11LoS32_1","13LoS14_2",99.0885,"metapop",9
"10326","11LoS32_1","19AcNV332.2.1",90.1511,"metapop",9
"10356","11LoS32_1","05LoS23_10",89.5698,"metapop",9
"10419","11LoS32_1","05LoS23R7_12",89.3833,"metapop",9
"13635","13LoS14_2","11LoS32_1",99.0862,"metapop",9
"13654","13LoS14_2","19AcNV332.2.1",90.9267,"metapop",9
"13707","13LoS14_2","05LoS23R7_12",89.6666,"metapop",9
"13783","13LoS14_2","05LoS23_10",89.4792,"metapop",9
"36139","19AcNV332.2.1","05LoS23R7_12",91.118,"metapop",9
"36183","19AcNV332.2.1","13LoS14_2",91.007,"metapop",9
"36232","19AcNV332.2.1","05LoS23_10",90.5387,"metapop",9
"36316","19AcNV332.2.1","11LoS32_1",90.1154,"metapop",9
"12710","11LoS8_1","19AcAm211.5.1",99.3834,"species",9
"12717","11LoS8_1","19AcS307.1.1",99.3284,"species",9
"12757","11LoS8_1","19AcS136.2.1",99.0071,"species",9
"12759","11LoS8_1","19AcS217.3.1",98.9912,"species",9
"25100","19AcAm211.5.1","19AcS307.1.1",99.7561,"species",9
"25106","19AcAm211.5.1","19AcS217.3.1",99.6447,"species",9
"25150","19AcAm211.5.1","11LoS8_1",99.3971,"species",9
"25176","19AcAm211.5.1","19AcS136.2.1",99.185,"species",9
"46132","19AcS136.2.1","19AcS307.1.1",99.7342,"species",9
"46139","19AcS136.2.1","19AcS217.3.1",99.6544,"species",9
"46200","19AcS136.2.1","19AcAm211.5.1",99.1797,"species",9
"46211","19AcS136.2.1","11LoS8_1",99.0159,"species",9
"49010","19AcS217.3.1","19AcS136.2.1",99.6521,"species",9
"49011","19AcS217.3.1","19AcAm211.5.1",99.647,"species",9
"49057","19AcS217.3.1","19AcS307.1.1",99.3167,"species",9
"49092","19AcS217.3.1","11LoS8_1",98.9884,"species",9
"49957","19AcS307.1.1","19AcAm211.5.1",99.757,"species",9
"49961","19AcS307.1.1","19AcS136.2.1",99.7334,"species",9
"50031","19AcS307.1.1","11LoS8_1",99.3298,"species",9
"50036","19AcS307.1.1","19AcS217.3.1",99.3253,"species",9
"12271","05LoS16R10_32","19AcPa283.2.1",95.7439,"metapop",10
"1338","05LoS16R10_32","19AcGLBFCO3.1.1",94.3258,"metapop",10
"1359","05LoS16R10_32","19AcNV334.2.1",91.7617,"metapop",10
"1407","05LoS16R10_32","19AcAM304.3.1",90.4183,"metapop",10
"17396","19AcAM304.3.1","19AcNV334.2.1",92.3478,"metapop",10
"17417","19AcAM304.3.1","19AcGLBFCO3.1.1",91.6333,"metapop",10
"17461","19AcAM304.3.1","19AcPa283.2.1",90.9332,"metapop",10
"17621","19AcAM304.3.1","05LoS16R10_32",90.3102,"metapop",10
"33152","19AcGLBFCO3.1.1","05LoS16R10_32",94.5029,"metapop",10
"33181","19AcGLBFCO3.1.1","19AcPa283.2.1",94.3699,"metapop",10
"33310","19AcGLBFCO3.1.1","19AcNV334.2.1",92.8397,"metapop",10
"33328","19AcGLBFCO3.1.1","19AcAM304.3.1",91.8052,"metapop",10
"35973","19AcNV334.2.1","19AcGLBFCO3.1.1",92.7611,"metapop",10
"35981","19AcNV334.2.1","19AcAM304.3.1",92.3751,"metapop",10
"36060","19AcNV334.2.1","19AcPa283.2.1",91.7988,"metapop",10
"36082","19AcNV334.2.1","05LoS16R10_32",91.7801,"metapop",10
"42452","19AcPa283.2.1","05LoS16R10_32",95.7845,"metapop",10
"42462","19AcPa283.2.1","19AcGLBFCO3.1.1",94.3954,"metapop",10
"42477","19AcPa283.2.1","19AcNV334.2.1",91.8205,"metapop",10
"42500","19AcPa283.2.1","19AcAM304.3.1",91.016,"metapop",10
"4236","05LoS23_11","19AcS295.2.1",99.7073,"species",10
"4319","05LoS23_11","19AcAm129.2.1",99.4348,"species",10
"4367","05LoS23_11","19AcPa147.2.2",96.255,"species",10
"4383","05LoS23_11","19AcPa174.2.1",95.7847,"species",10
"20994","19AcAm129.2.1","19AcS295.2.1",99.5244,"species",10
"21010","19AcAm129.2.1","05LoS23_11",99.4333,"species",10
"21052","19AcAm129.2.1","19AcPa147.2.2",96.1788,"species",10
"21068","19AcAm129.2.1","19AcPa174.2.1",95.6688,"species",10
"38558","19AcPa147.2.2","19AcPa174.2.1",98.3649,"species",10
"38579","19AcPa147.2.2","05LoS23_11",96.2592,"species",10
"38586","19AcPa147.2.2","19AcS295.2.1",96.2438,"species",10
"38654","19AcPa147.2.2","19AcAm129.2.1",96.1382,"species",10
"40433","19AcPa174.2.1","19AcPa147.2.2",98.3534,"species",10
"40489","19AcPa174.2.1","05LoS23_11",95.7687,"species",10
"40502","19AcPa174.2.1","19AcS295.2.1",95.7518,"species",10
"40551","19AcPa174.2.1","19AcAm129.2.1",95.6856,"species",10
"47243","19AcS295.2.1","05LoS23_11",99.7048,"species",10
"47308","19AcS295.2.1","19AcAm129.2.1",99.5248,"species",10
"47374","19AcS295.2.1","19AcPa147.2.2",96.1813,"species",10
"47387","19AcS295.2.1","19AcPa174.2.1",95.7511,"species",10
"3347","05LoS22_10","19AcS136.2.1",99.4196,"metapop",11
"3399","05LoS22_10","09LoS36_1",99.2032,"metapop",11
"3486","05LoS22_10","19AcNV336.2.1",92.2678,"metapop",11
"3555","05LoS22_10","11LoS31_5",84.0706,"metapop",11
"4770","09LoS36_1","19AcS136.2.1",99.6153,"metapop",11
"4829","09LoS36_1","05LoS22_10",99.2055,"metapop",11
"4907","09LoS36_1","19AcNV336.2.1",92.3995,"metapop",11
